item,x1,x2,y1,y2
De,0.546698113,1.344339623,2.871359223,3.491504854
D,2.285377358,2.616981132,3.194174757,3.483009709
B,2.975471698,3.531132075,3.22815534,3.466019417
CT,3.647641509,4.194339623,2.981796117,3.483009709
B,4.481132075,4.75,2.871359223,3.483009709
B,4.481132075,4.714150943,2.29368932,2.854368932
De,0.860377358,1.613207547,1.112864078,2.225728155
CT,1.971698113,2.527358491,1.444174757,2.285194175
C,3.056132075,3.853773585,1.325242718,2.625
CT,3.074056604,3.620754717,0.696601942,1.223300971
